1,10136
2,10300
3,10005
4,10060
5,9951
6,9942
7,9931
8,9873
9,10063
10,10273
11,10015
12,10036
13,10091
14,10142
15,10051
16,10180
17,10246
18,9957
19,10152
20,10082
21,10278
22,10041
23,10224
24,10185
25,9993
26,10271
27,10108
28,9956
29,9965
30,10127
31,9931
32,10136
33,10241
34,10134
35,10130
36,10235
37,10125
38,10211
39,9953
40,9977
41,10208
42,10019
43,9981
44,10057
45,10276
46,10203
47,10009
48,10111
49,10065
50,10067
51,10047
52,10082
53,10100
54,10101
55,10099
56,10155
57,10091
58,10129
59,10146
60,10259
61,10008
62,10210
63,10039
64,10122
65,10211
66,10072
67,9937
68,10221
69,10194
70,10107
71,10182
72,10293
73,10250
74,10095
75,10009
76,9957
77,10170
78,10089
79,10144
80,10032
81,10077
82,10050
83,10230
84,10258
85,10240
86,10101
87,10225
88,10055
89,10068
90,10017
91,9950
92,10047
93,10113
94,10067
95,10019
96,10025
97,10077
98,9988
99,10139
